Date,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,EMA_50,RSI,MACD,MACD_signal,MACD_diff,ATR,BB_upper,BB_lower,BB_mavg,BB_width,CCI,ADX,ADX_pos,ADX_neg,OBV,Chaikin_AO,KST,KST_signal,Williams_R,Ultimate_Oscillator,TRIX,ROC,CMF,Vortex_Pos,Vortex_Neg,Force_Index,Price_Change,Cumulative_Returns,Trend,Signal,Close_t-1,Close_t-2,Close_t-3,Close_t-4,Close_t-5,Close_t-6,Close_t-7,Close_t-8,Close_t-9,Close_t-10,Close_t-11,Close_t-12,Close_t-13,Close_t-14,Close_t-15,Close_t-16,Close_t-17,Close_t-18,Close_t-19,Close_t-20,Close_t-21,Close_t-22,Close_t-23,Close_t-24,Close_t-25,Close_t-26,Close_t-27,Close_t-28,Close_t-29,Close_t-30,Close_t-31,Close_t-32,Close_t-33,Close_t-34,Close_t-35,Close_t-36,Close_t-37,Close_t-38,Close_t-39,Close_t-40,Close_t-41,Close_t-42,Close_t-43,Close_t-44,Close_t-45,Close_t-46,Close_t-47,Close_t-48,Close_t-49,Close_t-50,Close_t-51,Close_t-52,Close_t-53,Close_t-54,Close_t-55,Close_t-56,Close_t-57,Close_t-58,Close_t-59,target,Rolling_Mean,Rolling_std
2012-08-13,22.02914556730601,22.32750985599067,21.283237691007105,21.482147216796875,24973100.0,24.202722358703614,27.62643981933594,23.733382086699642,27.29937329434258,33.468171682065375,-2.372002828445538,-2.3142144352216034,-0.0577883932239347,1.3494997536877773,31.27061964467031,17.134825072736916,24.202722358703614,58.405803952256555,-51.824903845633905,46.30017326723762,16.68301336639807,37.45191272351706,100632400.0,-18286506.809361815,-184.1603095333418,-177.3588856097275,-81.59255862108158,42.29497483420892,-1.1681084118243372,-19.553073264151134,-0.1867337184878948,0.7179370541893096,1.1405750483824741,-15886469.777486052,-0.009628632016722705,-0.4349986415284547,-1,0,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,29.438499450683597,28.03619384765625,28.68264579772949,31.73589515686035,32.84978103637695,31.825403213500977,30.83085823059082,33.844322204589844,38.02140808105469,20.268800735473636,24.202722358703614,3.625754805081624
2012-08-14,21.29318147809941,21.48214532123151,20.13951088297798,20.268800735473636,39308800.0,23.819325542449953,27.496751251220704,23.403421958011453,27.0236645665438,29.848302901305544,-2.356667758776755,-2.3227050999326337,-0.03396265884412131,1.348971798313248,30.867287962820015,16.77136312207989,23.819325542449953,59.17852214420962,-68.2858480219423,46.206126825772174,15.49817710597361,40.84195216258386,61323600.0,-25509076.89350891,-189.71049831945575,-180.96484946727452,-93.34129801239224,36.00498920956907,-1.1993150704813416,-14.04471374887233,-0.24008797085418743,0.665446099806514,1.181693359301478,-20430573.26142218,-0.05648162025323633,-0.46691083370020714,-1,1,21.482147216796875,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,29.438499450683597,28.03619384765625,28.68264579772949,31.73589515686035,32.84978103637695,31.825403213500977,30.83085823059082,33.844322204589844,21.08433151245117,23.819325542449953,3.6155284348046846
2012-08-15,20.527385560706847,21.293184821648826,20.288695251505832,21.08433151245117,47861100.0,23.42598352432251,27.403860816955568,23.182556201291426,26.790749544814677,34.94165886041077,-2.252739904220082,-2.3087120607901235,0.05597215657004151,1.3240035127641667,30.155305304315995,16.696661744329027,23.42598352432251,57.451775913755135,-59.293190884291214,46.11879798726854,14.643656606083749,38.59005601119732,109184700.0,-17248853.599118948,-195.55871786148677,-184.30618114219502,-70.76267741274998,37.7290822745204,-1.2186478810121664,-8.423314503699944,-0.20903749047718104,0.7671435841782693,1.1968422962661769,-11935891.356933389,0.04023576863875444,-0.4454615813411422,1,0,20.268800735473636,21.482147216796875,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,29.438499450683597,28.03619384765625,28.68264579772949,31.73589515686035,32.84978103637695,31.825403213500977,30.83085823059082,19.761587142944336,23.42598352432251,3.4520692352442244
2012-08-16,20.328476834185796,20.36825760179372,19.58256894635401,19.761587142944336,157565300.0,22.971974277496336,27.26581817626953,22.85674962430599,26.51509611729035,31.00909978781202,-2.2511607666879634,-2.2972018019696914,0.04604103528172798,1.337677286097474,29.396822996885998,16.547125558106675,22.971974277496336,55.93640878906548,-78.27509410090705,46.31828485325683,13.471014945737373,39.26509997100121,-48380600.0,-39589878.05220163,-202.66776586267233,-187.6881692207301,-95.86206182782311,38.33750559857812,-1.23673020338946,-8.475353194191369,-0.2677888206535547,0.780941259991852,1.1638578360571639,-40004851.64946503,-0.06273589317857653,-0.48025104433754107,-1,0,21.08433151245117,20.268800735473636,21.482147216796875,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,29.438499450683597,28.03619384765625,28.68264579772949,31.73589515686035,32.84978103637695,31.825403213500977,18.946060180664062,22.971974277496336,3.295877850757909
2012-08-17,19.90082329315592,19.970441061338693,18.89633374537405,18.946060180664062,129293400.0,22.48912305831909,27.12141040802002,22.48430301062581,26.218271178599124,28.85299565610387,-2.2893255788126474,-2.2956265573382826,0.006300978525635159,1.317402673010333,28.59205809962418,16.386188017014003,22.48912305831909,54.27454886061032,-92.02589082238255,46.75724632248189,12.688390511138659,40.69566603217914,-177674000.0,-82460026.18773508,-209.0477152569833,-191.42394717678877,-98.85585299198586,34.15167374095429,-1.257467613302835,-8.764366601992542,-0.3408379206828172,0.6984953549814301,1.1574069784731973,-49353051.94881121,-0.04126829269234322,-0.5017001963663592,-1,1,19.761587142944336,21.08433151245117,20.268800735473636,21.482147216796875,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,29.438499450683597,28.03619384765625,28.68264579772949,31.73589515686035,32.84978103637695,19.90082550048828,22.48912305831909,3.130739618280468
2012-08-20,18.94606228209732,20.020169717198325,18.647699843380085,19.90082550048828,101186600.0,22.054507446289062,26.980384101867674,22.238257533469852,25.97052821083007,34.58735954286992,-2.216973989251276,-2.2798960437208815,0.06292205446960564,1.321638611534018,27.566159739167247,16.542855153410876,22.054507446289062,49.98209374025796,-85.55557667881612,47.254536512413836,11.74910484796568,39.02414243685367,-76487400.0,-65904923.74501097,-212.91457562531164,-195.07655831741505,-65.94592701384968,40.58137321412287,-1.270492389660683,-0.14969271937560988,-0.2445940508562744,0.7609467261450864,1.118342782370815,-28501265.02599171,0.05039387137588802,-0.4765889401554152,1,0,18.946060180664062,19.761587142944336,21.08433151245117,20.268800735473636,21.482147216796875,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,29.438499450683597,28.03619384765625,28.68264579772949,31.73589515686035,19.055458068847656,22.054507446289062,2.8274179683567615
2012-08-21,19.47316651908092,19.870983639078872,18.985840309965724,19.055458068847656,70640600.0,21.592541694641113,26.824240646362306,21.935133774934403,25.69934898957586,32.118916681877394,-2.202460328281351,-2.2644089006329753,0.06194857235162443,1.290357579148521,26.443865010828837,16.74121837845339,21.592541694641113,44.93517608806319,-97.09674444253754,47.716305974493494,11.156176179806366,37.054755568614986,-147128000.0,-72081954.87378705,-216.62211613709647,-198.55082604266707,-88.91904551470141,35.20028129072195,-1.2821256294113519,-9.15127483596521,-0.27812957325303905,0.8294978320864445,1.0271380965846053,-32960693.24964329,-0.042479013326350845,-0.4988229255417127,-1,0,19.90082550048828,18.946060180664062,19.761587142944336,21.08433151245117,20.268800735473636,21.482147216796875,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,29.438499450683597,28.03619384765625,28.68264579772949,19.333932876586918,21.592541694641113,2.488676350687282
2012-08-22,19.25436944487017,19.42344197438598,18.856550389344616,19.333932876586918,49892200.0,21.10024242401123,26.665909271240235,21.68740035604417,25.449724828282175,33.7950976429465,-2.1437754488039857,-2.2402822102671776,0.09650676146319181,1.234706348832586,24.574794146442347,17.625690701580115,21.10024242401123,32.93376116358943,-107.92422574653226,48.196923655746325,10.79276278530755,36.59062771637222,-97235800.0,-57194312.530522585,-220.1835675226013,-202.0550714815445,-81.3514074460331,39.28659626581534,-1.2884103852251865,-11.313868645069853,-0.2536403588277824,0.8809227013007402,1.0127574143911906,-26267205.527881566,0.014613913070634643,-0.49149876734258435,1,0,19.055458068847656,19.90082550048828,18.946060180664062,19.761587142944336,21.08433151245117,20.268800735473636,21.482147216796875,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,29.438499450683597,28.03619384765625,19.333932876586918,21.10024242401123,1.7824074252072557
2012-08-23,19.39360497613901,19.622349605206917,19.25436944487017,19.333932876586918,32813700.0,20.731763935089113,26.510163726806642,21.46326059609586,25.20988984978432,33.7950976429465,-2.073366777432213,-2.2068991237001847,0.13353234626797184,1.1680351035636751,23.155411790042148,18.308116080136077,20.731763935089113,23.38100957102778,-100.24910881673911,48.36389059402976,11.7559570735514,35.77595003475021,-64422100.0,-51830237.306842685,-222.28963561500663,-205.9061001926618,-81.3514074460331,41.72594748654314,-1.2888328333027965,-6.177605355657937,-0.230255537913515,0.8874391142651628,1.0912826378817835,-22514747.595327057,0.0,-0.49149876734258435,0,0,19.333932876586918,19.055458068847656,19.90082550048828,18.946060180664062,19.761587142944336,21.08433151245117,20.268800735473636,21.482147216796875,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,29.438499450683597,19.304096221923828,20.731763935089113,1.2433051161297168
2012-08-24,19.413496653834702,19.572623520100407,19.144969355658123,19.304096221923828,29622200.0,20.517937088012694,26.333532676696777,21.25762589379376,24.978290099672147,33.691719459567324,-1.996955309037915,-2.1649103607677307,0.16795505172981562,1.1110827236312604,22.633502517508088,18.4023716585173,20.517937088012694,20.62161922439447,-95.76593010934047,48.57113709948999,11.437250817392782,35.499574880893675,-94044300.0,-47335124.11151719,-223.9457360563585,-210.32670313966364,-82.16222766170416,37.05039534825896,-1.283449624541334,-6.322394644342046,-0.2871597942984358,0.7890953275004564,1.1133416356325456,-19424616.131960474,-0.0015432273843890565,-0.49228350036981683,-1,0,19.333932876586918,19.333932876586918,19.055458068847656,19.90082550048828,18.946060180664062,19.761587142944336,21.08433151245117,20.268800735473636,21.482147216796875,21.691001892089844,20.89536476135254,20.606948852539062,20.606948852539062,21.80040168762207,20.974931716918945,19.93066024780273,20.766075134277344,21.5915470123291,23.02368927001953,23.58063316345215,26.703502655029297,29.17991828918457,28.29477310180664,28.593137741088867,28.603084564208984,28.841772079467773,28.951171875,27.936737060546875,28.095867156982425,30.552387237548828,30.641895294189453,30.801023483276367,31.298295974731445,31.994474411010746,31.55687713623047,31.298295974731445,31.02977180480957,30.60211563110352,30.93031120300293,31.18889617919922,32.05414962768555,32.919403076171875,31.88507843017578,32.86967468261719,31.666278839111328,31.427583694458008,31.73589515686035,31.238622665405277,29.846263885498047,28.135648727416992,27.1212100982666,27.25050163269043,26.86263084411621,26.95214080810547,26.16644859313965,26.663719177246094,25.728853225708008,26.75322914123535,27.568756103515625,19.045515060424805,20.517937088012694,1.085262166541003
